Original_Invivo_Index,SegmentName,Abbr.Cleaned,Grouping,Domain
48,MOBgl_Main_olfactory_bulb_glomerular_layer,MOBgl,01_Olfactory_A,OLF
49,MOBgr_Main_olfactory_bulb_granule_layer,MOBgr,01_Olfactory_B,OLF
46,MOBipl_Main_olfactory_bulb_inner_plexiform_layer,MOBipl,01_Olfactory_C,OLF
64,MOBmi_Main_olfactory_bulb_mitral_layer,MOBmi,01_Olfactory_D,OLF
47,MOBopl_Main_olfactory_bulb_outer_plexiform_layer,MOBopl,01_Olfactory_E,OLF
39,AOB_Accessory_olfactory_bulb,AOB,01_Olfactory_F,OLF
34,AON_Anterior_olfactory_nucleus,AON,01_Olfactory_H,OLF
45,TT_Taenia_tecta_dorsal_part,TT,01_Olfactory_I,OLF
71,EPd_Endopiriform_nucleus_dorsal_part,EPd,01_Olfactory_J,OLF
40,SEZ_Subependymal_zone,SEZ,01_Olfactory_X,OLF
10,CTX_Cerebral_cortex,CTX,02_CerebralCortex_A,CTX
106,ORB_Orbitalfrontal_cortex,ORB,02_CerebralCortex_B,CTX
105,PL_Prelimbic_cortex,PL,02_CerebralCortex_C,CTX
104,ILA_Infralimbic_cortex,ILA,02_CerebralCortex_D,CTX
103,DP_Dorsal_peduncular_cortex,DP,02_CerebralCortex_E,CTX
108,ACA_Anterior_cingulate_cortex,ACA,02_CerebralCortex_F,CTX
107,MO_Primary_motor_cortex,MO,02_CerebralCortex_G,CTX
109,SS_Somatosensory_cortex,SS,02_CerebralCortex_H,CTX
69,PIR_Piriform_cortex,PIR,02_CerebralCortex_I,CTX
110,RSP_Retrosplenial_cortex,RSP,02_CerebralCortex_J,CTX
111,PTL_Posterior_parietal_association_area,PTL,02_CerebralCortex_K,CTX
9,HPF_Hippocampal_formation,HPF,03_Hippocampus_A,HIP
37,DG_Dentate_gyrus,DG,03_Hippocampus_B,HIP
43,CA1-CA3_Field_ca1_ca2_ca3_pyramidal_layer,CA1-CA3,03_Hippocampus_C,HIP
93,AAA_Anterior_amygdala_area,AAA,04_Amygdala_A,AMY
94,MEA_Medial_amygdalar_nucleus,MEA,04_Amygdala_B,AMY
92,CEA_Central_amygdalar_nucleus,CEA,04_Amygdala_C,AMY
78,LA_Lateral_amygdalar_nucleus,LA,04_Amygdala_D,AMY
77,BLA_Basolateral_amygdalar_nucleus,BLA,04_Amygdala_E,AMY
44,PA_Posterior_amygdalar_nucleus,PA,04_Amygdala_F,AMY
38,COA_Cortical_amygdalar_area,COA,04_Amygdala_G,AMY
26,CP_Caudoputamen,CP,05_Striatum/pallidum_A,STR/PAL
25,ACB_Nucleus_accumbens,ACB,05_Striatum/pallidum_B,STR/PAL
51,FS_Fundus_of_striatum,FS,05_Striatum/pallidum_C,STR/PAL
13,OT_Olfactory_tubercle,OT,05_Striatum/pallidum_D,STR/PAL
67,LSc_Lateral_septal_nucleus_caudal_part,LSc,05_Striatum/pallidum_E,STR/PAL
68,LSr_Lateral_septal_nucleus_rostral_part,LSr,05_Striatum/pallidum_F,STR/PAL
35,GPe_Globus_pallidus,GPe,05_Striatum/pallidum_G,STR/PAL
22,SI_Substantia_innominata,SI,05_Striatum/pallidum_H,STR/PAL
66,MS_Medial_septal_nucleus,MS,05_Striatum/pallidum_I,STR/PAL
70,NDB_Diagonal_band_nucleus,NDB,05_Striatum/pallidum_J,STR/PAL
50,BST_Bed_nuclei_of_th5_Stria_terminalis,BST,05_Striatum/pallidum_K,STR/PAL
82,VAL_Ventral_anterior_lateral_complex_of_the_thalamus,VAL,06_Thalamus_A,THA
83,VM_Ventral_medial_nucleus_of_the_thalamus,VM,06_Thalamus_B,THA
55,VPM_Ventral_posteromedial_nucleus_of_the_thalamus,VPM,06_Thalamus_C,THA
59,VPL_Ventral_posterolateral_nucleus_of_the_thalamus,VPL,06_Thalamus_D,THA
87,SPA_Subparafascicular_area,SPA,06_Thalamus_E,THA
60,MG_Medial_geniculate_complex,MG,06_Thalamus_F,THA
61,LGd_Dorsal_part_of_the_lateral_geniculate_complex,LGd,06_Thalamus_G,THA
63,LP_Lateral_posterior_nuclers_of_the_thalamus,LP,06_Thalamus_H,THA
84,AV_Anteroventral_nucleus_of_thalamus,AV,06_Thalamus_J,THA
80,IAM_Anteromedial_nucleus_of_thalamus,IAM,06_Thalamus_K,THA
88,IMD_Intermediodorsal_nucleus_of_the_thalamus,IMD,06_Thalamus_L,THA
85,PVT_Paraventricular_nucleus_of_the_thalamus,PVT,06_Thalamus_M,THA
79,MD_Mediodorsal_nucleus_of_thalamus,MD,06_Thalamus_N,THA
86,PT_Parataenial_nucleus,PT,06_Thalamus_O,THA
73,RE_Nucleus_of_reunions,RE,06_Thalamus_P,THA
57,RT_Reticular_nucleus_of_the_thalamus,RT,06_Thalamus_Q,THA
89,CM_Central_medial_nucleus_of_the_thalamus,CM,06_Thalamus_R,THA
74,PO_Posterior_complex_of_the_thalamus,PO,06_Thalamus_S,THA
91,PF_Parafascicular_nucleus,PF,06_Thalamus_T,THA
90,MH_Medial_habenula,MH,06_Thalamus_U,THA
6,HY_Hypothalamus,HY,07_Hypothalamus_A,HYP
72,MPO_Preoptic_Nuclei,MPO,07_Hypothalamus_B,HYP
123,AVPV_Anteroventral_Periventricular_Nucleus,AVPV,07_Hypothalamus_C,HYP
112,PVH_Paraventricular_Hypothalamic_Nuclei,PVH,07_Hypothalamus_D,HYP
126,SCH_Suprachiasmatic_Nucleus,SCH,07_Hypothalamus_E,HYP
114,AHN_Anterior_Hypothalamic_Nucleus,AHN,07_Hypothalamus_F,HYP
125,SBPV_Subparaventricular_Zone,SBPV,07_Hypothalamus_G,HYP
113,LHA_Lateral_Hypothalamic_area,LHA,07_Hypothalamus_H,HYP
58,ZI_Zona_incerta,ZI,07_Hypothalamus_I,HYP
127,ARH_Arcuate_Hypothalamic_Nucleus,ARH,07_Hypothalamus_J,HYP
115,VMH_Ventromedial_Hypothalamic_Nucleus,VMH,07_Hypothalamus_K,HYP
116,DMH_Dorsomedial_Hypothalamic_Nucleus,DMH,07_Hypothalamus_L,HYP
124,PVp_Periventricular_Hypothalamic_Nucleus_Posterior_Part,PVp,07_Hypothalamus_M,HYP
117,PH_Posterior_Hypothalamic_Nucleus,PH,07_Hypothalamus_N,HYP
118,STN_Subthalamic_Nucleus,STN,07_Hypothalamus_O,HYP
98,MBO_Mammillary_nuclei_of_the_hypothalamus,MBO,07_Hypothalamus_P,HYP
3,MB_Midbrain,MB,08_Midbrain_A,MB
20,VTA_Ventral_tegmental_area,VTA,08_Midbrain_B,MB
19,RN_Red_nucleus,RN,08_Midbrain_C,MB
21,SNc_Substantia_nigra_compact_part,SNc,08_Midbrain_D,MB
100,SNr_Substantia_nigra_reticular,SNr,08_Midbrain_E,MB
15,IPN_Interpeduncular_nucleus,IPN,08_Midbrain_F,MB
97,CLI_Central_linear_Raphe,CLI,08_Midbrain_G,MB
17,CS_Superior_central_Raphe,CS,08_Midbrain_H,MB
96,DR_Dorsal_nucleus_Raphe,DR,08_Midbrain_I,MB
95,PAG_Periaquaductal_gray,PAG,08_Midbrain_J,MB
5,9_Pons,P,09_Pons_A,HB
16,PG_Pontine_Gray,PG,09_Pons_B,HB
99,PCG_Pontine_central_gray,PCG,09_Pons_C,HB
18,PRNr_Pontine_reticular_nucleus,PRN,09_Pons_D,HB
102,PB_Parabrachial_nucleus,PB,09_Pons_E,HB
101,LC_Locus_ceruleus,LC,09_Pons_F,HB
65,GR_Gr,Gr,09_Pons_G,HB
4,MY_Medulla_oblongata,MY,09_Pons_H,HB
2,C2_Cerebellum,CB,10_Cerebellum_A,CB
27,DEC_Declive__VI_,DEC,10_Cerebellum_B,CB
28,FOTU_Folium-tuber_vermis_VII,FOTU,10_Cerebellum_C,CB
29,PYR_Pyramus_VIII,PYR,10_Cerebellum_D,CB
31,NOD_Nodulus_X,NOD,10_Cerebellum_E,CB
30,UVU_Uvula_IX,UVU,10_Cerebellum_F,CB
32,SIM_Simple_lobule,SIM,10_Cerebellum_G,CB
33,onl_Olfactory_nerve_layer_of_main_olfactory_bulb,onl,11_fiber_bundle_A,WM
12,aco_Anterior_commissure_olfactory_limb,aco,11_fiber_bundle_B,WM
41,aot_Accessory_optic_tract,aot,11_fiber_bundle_C,WM
76,opt_Optic_tract,opt,11_fiber_bundle_D,WM
75,em_External_medullary_lamina_of_the_thalamus,em,11_fiber_bundle_E,WM
11,cc_Corpus_callosum,cc,11_fiber_bundle_F,WM
7,int_Internal_capsule,int,11_fiber_bundle_G,WM
52,fi_Fimbria,fi,11_fiber_bundle_H,WM
53,vhc_Ventral_hippocampal_commisure,vhc,11_fiber_bundle_I,WM
54,st_Stria_terminalis,st,11_fiber_bundle_J,WM
81,sm_Stria_medullaris,sm,11_fiber_bundle_K,WM
8,VL_Lateral_ventricle,VL,12_ventricles_A,V
42,V3_Third_ventricle,V3,12_ventricles_B,V
1,WB_WholeBrain,WB,13_wholebrain,WB
