Index,SegmentName,SegAbbr,SegGroup,Domain
1,WB_WholeBrain,WB,wholebrain,WB
2,CB_Cerebellum,CB,x_Cerebellum_A,CB
3,MB_Midbrain,MB,j_Midbrain_A,MB
4,MY_Medulla_oblongata,MY,p_Pons_H,HB
5,P_Pons,P,p_Pons_A,HB
6,HY_Hypothalamus,HY,i_Hypothalamus_A,HYP
7,int_Internal_capsule,int,ww_fiber_bundle_F,WM
8,VL_Lateral_ventricle,VL,V_ventricles_A,V
9,HPF_Hippocampal_formation,HPF,c_Hippocampus_A,HIP
10,CTX_Cerebral_cortex,CTX,b_CerebralCortex_A,CTX
11,cc_Corpus_callosum,cc,ww_fiber_bundle_E,WM
12,aco_Anterior_commissure_olfactory_limb,aco,ww_fiber_bundle_C,WM
13,OT_Olfactory_tubercle,OT,e_Striatum/pallidum_D,STR/PAL
15,IPN_Interpeduncular_nucleus,IPN,j_Midbrain_F,MB
16,PG_Pontine_Gray,PG,p_Pons_B,HB
17,CS_Superior_central_Raphe,CS,j_Midbrain_H,MB
18,PRNr_Pontine_reticular_nucleus,PRN,p_Pons_D,HB
19,RN_Red_nucleus,RN,j_Midbrain_C,MB
20,VTA_Ventral_tegmental_area,VTA,j_Midbrain_B,MB
21,SNc_Substantia_nigra_compact_part,SNc,j_Midbrain_D,MB
22,SI_Substantia_innominata,SI,e_Striatum/pallidum_H,STR/PAL
25,ACB_Nucleus_accumbens,ACB,e_Striatum/pallidum_B,STR/PAL
26,CP_Caudoputamen,CP,e_Striatum/pallidum_A,STR/PAL
27,DEC_Declive__VI_,DEC,x_Cerebellum_B,CB
28,FOTU_Folium-tuber_vermis_VII,FOTU,x_Cerebellum_C,CB
29,PYR_Pyramus_VIII,PYR,x_Cerebellum_D,CB
30,UVU_Uvula_IX,UVU,x_Cerebellum_F,CB
31,NOD_Nodulus_X,NOD,x_Cerebellum_E,CB
32,SIM_Simple_lobule,SIM,x_Cerebellum_G,CB
33,onl_Olfactory_nerve_layer_of_main_olfactory_bulb,onl,ww_fiber_bundle_A,WM
34,AON_Anterior_olfactory_nucleus,AON,a_Olfactory_H,OLF
35,GPe_Globus_pallidus,GPe,e_Striatum/pallidum_G,STR/PAL
37,DG_Dentate_gyrus,DG,c_Hippocampus_B,HIP
38,COA_Cortical_amygdalar_area,COA,d_Amygdala_G,AMY
39,AOB_Accessory_olfactory_bulb,AOB,a_Olfactory_F,OLF
40,SEZ_Subependymal_zone,SEZ,a_Olfactory_X,OLF
41,aot_Accessory_optic_tract,aot,o_optic_A,WM
42,V3_Third_ventricle,V3,V_ventricles_B,V
43,CA1_CA3_Field_ca1_ca2_ca3_pyramidal_layer,CA1.CA3,c_Hippocampus_C,HIP
44,PA_Posterior_amygdalar_nucleus,PA,d_Amygdala_F,AMY
45,TT_Taenia_tecta_dorsal_part,TT,a_Olfactory_I,OLF
46,MOBipl_Main_olfactory_bulb_inner_plexiform_layer,MOBipl,a_Olfactory_C,OLF
47,MOBopl_Main_olfactory_bulb_outer_plexiform_layer,MOBopl,a_Olfactory_E,OLF
48,MOBgl_Main_olfactory_bulb_glomerular_layer,MOBgl,a_Olfactory_A,OLF
49,MOBgr_Main_olfactory_bulb_granule_layer,MOBgr,a_Olfactory_B,OLF
50,BST_Bed_nuclei_of_the_stria_terminalis,BST,e_Striatum/pallidum_K,STR/PAL
51,FS_Fundus_of_striatum,FS,e_Striatum/pallidum_C,STR/PAL
52,fi_Fimbria,fi,ww_fiber_bundle_G,WM
53,vhc_Ventral_hippocampal_commisure,vhc,ww_fiber_bundle_H,WM
54,st_Stria_terminalis,st,ww_fiber_bundle_I,WM
55,VPM_Ventral_posteromedial_nucleus_of_the_thalamus,VPM,h_Thalamus_C,THA
57,RT_Reticular_nucleus_of_the_thalamus,RT,h_Thalamus_Q,THA
58,ZI_Zona_incerta,ZI,i_Hypothalamus_I,HYP
59,VPL_Ventral_posterolateral_nucleus_of_the_thalamus,VPL,h_Thalamus_D,THA
60,MG_Medial_geniculate_complex,MG,h_Thalamus_F,THA
61,LGd_Dorsal_part_of_the_lateral_geniculate_complex,LGd,h_Thalamus_G,THA
63,LP_Lateral_posterior_nuclers_of_the_thalamus,LP,h_Thalamus_H,THA
64,MOBmi_Main_olfactory_bulb_mitral_layer,MOBmi,a_Olfactory_D,OLF
65,GR_Gr,Gr,p_Pons_G,HB
66,MS_Medial_septal_nucleus,MS,e_Striatum/pallidum_I,STR/PAL
67,LSc_Lateral_septal_nucleus_caudal_part,LSc,e_Striatum/pallidum_E,STR/PAL
68,LSr_Lateral_septal_nucleus_rostral_part,LSr,e_Striatum/pallidum_F,STR/PAL
69,PIR_Piriform_cortex,PIR,b_CerebralCortex_I,CTX
70,NDB_Diagonal_band_nucleus,NDB,e_Striatum/pallidum_J,STR/PAL
71,EPd_Endopiriform_nucleus_dorsal_part,EPd,a_Olfactory_J,OLF
72,MPO_Preoptic_Nuclei,MPO,i_Hypothalamus_B,HYP
73,RE_Nucleus_of_reunions,RE,h_Thalamus_P,THA
74,PO_Posterior_complex_of_the_thalamus,PO,h_Thalamus_S,THA
75,em_External_medullary_lamina_of_the_thalamus,em,ww_fiber_bundle_D,WM
76,opt_Optic_tract,opt,o_optic_B,WM
77,BLA_Basolateral_amygdalar_nucleus,BLA,d_Amygdala_E,AMY
78,LA_Lateral_amygdalar_nucleus,LA,d_Amygdala_D,AMY
79,MD_Mediodorsal_nucleus_of_thalamus,MD,h_Thalamus_N,THA
80,IAM_Anteromedial_nucleus_of_thalamus,IAM,h_Thalamus_K,THA
