Image,Group,Condition,SubID,Threshold,SegAbbr,Grouping,Domain,SegVol,Mean,Median,StDev,Q1,Q3,Min,Max,ActVol,FAV,CoGx,CoGy,CoGz,sCoGx,sCoGy,sCoGz
Grp1_Con1_01.nii,Grp1,Con1,1,,WB,wholebrain,WB,40397,5998.46,6415,2057.85,5297,7119,-1384,37078,40397,1,61.83,100.92,28.14,61.83,100.92,28.14
Grp1_Con1_01.nii,Grp1,Con1,1,,CB,x_Cerebellum_A,CB,60195,6131.92,6676,2061.4,5723,7359,-1386,18052,60195,1,64.03,133.23,41.67,64.03,133.23,41.67
Grp1_Con1_01.nii,Grp1,Con1,1,,MB,j_Midbrain_A,MB,18892,6753.4,6774,822.12,6315,7231,-243,14197,18892,1,63.18,111.03,47.07,63.18,111.03,47.07
Grp1_Con1_01.nii,Grp1,Con1,1,,MY,p_Pons_H,HB,28427,6109,6468,1749.38,5737,7072,-1246,18843,28427,1,64.03,136.36,18.93,64.03,136.36,18.93
Grp1_Con1_01.nii,Grp1,Con1,1,,P,p_Pons_A,HB,5675,6331.66,6702,1663.7,5911,7293.5,-778,16795,5675,1,64.09,117.15,19.28,64.09,117.15,19.28
Grp1_Con1_01.nii,Grp1,Con1,1,,HY,i_Hypothalamus_A,HYP,1294,6225.44,6564.5,1399.4,5673.5,7132.5,-318,9450,1294,1,61.78,81.03,14.44,61.78,81.03,14.44
Grp1_Con1_01.nii,Grp1,Con1,1,,int,ww_fiber_bundle_F,WM,2819,6387.04,6427,760.5,5896,6896,3498,9187,2819,1,61.7,80.68,34.93,61.7,80.68,34.93
Grp1_Con1_01.nii,Grp1,Con1,1,,VL,V_ventricles_A,V,7825,7036.08,7112,945.72,6410,7708,0,9829,7825,1,63.49,79.86,43.12,63.49,79.86,43.12
Grp1_Con1_01.nii,Grp1,Con1,1,,HPF,c_Hippocampus_A,HIP,9628,6890.04,6885,849.95,6390,7387,-202,14507,9628,1,61.58,100.36,43.94,61.58,100.36,43.94
Grp1_Con1_01.nii,Grp1,Con1,1,,CTX,b_CerebralCortex_A,CTX,48603,6186.56,6681,1877.02,5974,7236,-1345,13321,48603,1,62.84,92.17,42.8,62.84,92.17,42.8
