Image,Group,Condition,SubID,Threshold,SegAbbr,Grouping,Domain,SegVol,Mean,Median,StDev,Q1,Q3,Min,Max,ActVol,FAV,CoGx,CoGy,CoGz,sCoGx,sCoGy,sCoGz
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,WB,wholebrain,WB,40397.0,2.48,2.27,0.67,2.02,2.72,1.81,7.29,1247,0.031,61.83,100.92,28.14,59.84,101.7,27.27
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,CB,x_Cerebellum_A,CB,60195.0,2.44,2.27,0.6,2.01,2.7,1.81,6.17,1897,0.032,64.03,133.23,41.67,65.3,132.59,41.23
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,MB,j_Midbrain_A,MB,18892.0,2.45,2.25,0.64,1.99,2.69,1.81,7.19,582,0.031,63.18,111.03,47.07,63.21,111.3,46.46
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,MY,p_Pons_H,HB,28427.0,2.42,2.26,0.57,2.01,2.64,1.81,5.85,874,0.031,64.03,136.36,18.93,64.35,137.69,17.69
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,P,p_Pons_A,HB,5675.0,2.46,2.21,0.68,1.97,2.67,1.82,6.06,196,0.035,64.09,117.15,19.28,67.54,115.82,18.4
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,HY,i_Hypothalamus_A,HYP,1294.0,2.5,2.35,0.53,2.09,2.9,1.89,4.07,24,0.019,61.78,81.03,14.44,63.32,81.68,18.21
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,int,ww_fiber_bundle_F,WM,2819.0,2.38,2.26,0.52,2.01,2.49,1.81,4.5,73,0.026,61.7,80.68,34.93,56.72,80.94,36.11
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,VL,V_ventricles_A,V,7825.0,2.48,2.28,0.7,2.03,2.71,1.82,7.86,257,0.033,63.49,79.86,43.12,61.31,79.98,41.32
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,HPF,c_Hippocampus_A,HIP,9628.0,2.48,2.32,0.61,2.04,2.7,1.81,5.49,373,0.039,61.58,100.36,43.94,59.69,99.19,45.89
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,CTX,b_CerebralCortex_A,CTX,48603.0,2.48,2.3,0.65,2.02,2.72,1.81,8.4,1553,0.032,62.84,92.17,42.8,62.25,93.44,42.9
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,cc,ww_fiber_bundle_E,WM,11761.0,2.45,2.28,0.64,2.0,2.65,1.81,6.88,426,0.036,61.42,83.86,52.05,61.98,84.35,52.28
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,aco,ww_fiber_bundle_C,WM,1364.0,2.95,2.72,0.91,2.18,3.37,1.82,5.24,68,0.05,60.67,64.24,29.04,68.62,66.36,27.36
