Image,Group,Condition,SubID,Threshold,SegAbbr,Grouping,Domain,SegVol,Mean,Median,StDev,Q1,Q3,Min,Max,ActVol,FAV,CoGx,CoGy,CoGz,sCoGx,sCoGy,sCoGz
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,WB,wholebrain,WB,40397.0,0.97,0.84,0.38,0.67,1.15,0.55,2.46,7165,0.177,61.83,100.92,28.14,62.48,101.0,22.51
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,CB,x_Cerebellum_A,CB,60195.0,0.86,0.8,0.26,0.66,1.0,0.55,2.49,18319,0.304,64.03,133.23,41.67,60.16,133.0,36.59
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,MB,j_Midbrain_A,MB,18892.0,0.7,0.66,0.13,0.6,0.76,0.55,1.36,1146,0.061,63.18,111.03,47.07,62.57,110.27,45.08
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,MY,p_Pons_H,HB,28427.0,0.81,0.76,0.22,0.64,0.92,0.55,2.24,7921,0.279,64.03,136.36,18.93,66.27,135.94,23.55
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,P,p_Pons_A,HB,5675.0,0.85,0.77,0.29,0.64,0.98,0.55,2.5,1356,0.239,64.09,117.15,19.28,69.87,119.12,22.63
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,HY,i_Hypothalamus_A,HYP,1294.0,0.81,0.76,0.21,0.64,0.92,0.55,1.5,235,0.182,61.78,81.03,14.44,61.11,82.98,19.56
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,int,ww_fiber_bundle_F,WM,2819.0,0.85,0.77,0.25,0.65,0.98,0.55,2.03,745,0.264,61.7,80.68,34.93,66.05,78.87,32.36
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,VL,V_ventricles_A,V,7825.0,0.9,0.84,0.28,0.68,1.04,0.55,2.31,1730,0.221,63.49,79.86,43.12,60.79,85.73,39.57
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,HPF,c_Hippocampus_A,HIP,9628.0,0.94,0.88,0.3,0.7,1.12,0.55,2.26,2052,0.213,61.58,100.36,43.94,67.1,97.41,41.21
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,CTX,b_CerebralCortex_A,CTX,48603.0,0.74,0.68,0.17,0.61,0.82,0.55,1.61,1033,0.021,62.84,92.17,42.8,55.17,103.0,35.93
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,cc,ww_fiber_bundle_E,WM,11761.0,0.73,0.68,0.19,0.6,0.8,0.55,1.54,198,0.017,61.42,83.86,52.05,35.14,92.99,50.4
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,aco,ww_fiber_bundle_C,WM,1364.0,0.81,0.75,0.21,0.65,0.92,0.55,1.67,581,0.426,60.67,64.24,29.04,60.14,64.49,29.04
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,OT,e_Striatum/pallidum_D,STR/PAL,2628.0,0.62,0.59,0.1,0.57,0.64,0.55,1.02,21,0.008,62.5,56.81,14.9,60.65,54.01,18.59
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,IPN,j_Midbrain_F,MB,370.0,0.94,0.91,0.27,0.73,1.1,0.55,2.08,249,0.673,61.94,102.38,25.44,61.53,102.34,25.25
